player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Gabriel Magalhães,Arsenal,D,1,20.0,180,63,46.32352941,512,747,1259,88.72445384,87,66.92307692,43,25,4,46,5,3,6,13,149,2,4,62,1,2,1.73381605,1.8798,14,0,16.66666667,3,7,15,10,5,3,0,,60,75.94936709,1,0,1,160,18,6,2,24,2166,0,0,0,0,0,0.0,0,0,0,0,181,2,0,7.368,0,0,0,0,0,0,0,722.0,0.0,0,14,4,7,5,1,50.0,32,16,50.0,6,2,5,147,70.33492823,136,622,797,1419,18,5,1747,27,3
William Saliba,Arsenal,D,4,44.44444444,221,44,48.35164835,589,1034,1623,92.68989149,60,54.05405405,51,25,0,96,0,2,1,11,102,6,6,83,0,2,0.90453671,0.8575,17,0,20.0,1,1,16,11,5,1,0,,48,60.0,1,0,0,128,14,7,0,24,2075,1,0,0,0,0,0.0,0,0,0,0,156,2,0,6.991666667,0,0,0,0,0,0,0,2075.0,0.0,0,5,0,3,1,4,57.14285714,29,17,58.62068966,7,7,9,108,56.54450262,91,674,1077,1751,5,0,1990,15,1
Piero Hincapié,Arsenal,D,4,14.28571429,146,20,35.71428571,324,338,662,89.21832884,30,51.72413793,28,21,2,55,2,0,1,3,75,4,11,62,0,0,1.34832156,0.3286,16,0,50.0,1,3,16,12,4,1,0,,55,61.79775281,0,0,0,80,20,12,1,17,1504,0,1,0,0,0,0.0,0,0,0,0,146,3,0,6.919047619,0,0,0,0,0,0,0,1504.0,0.0,0,1,1,0,1,5,45.45454545,39,21,53.84615385,12,11,28,85,57.82312925,56,378,364,742,2,1,1091,12,2
Cristhian Mosquera,Arsenal,D,0,0.0,62,6,37.5,151,254,405,91.21621622,11,37.93103448,18,14,0,23,0,0,0,1,32,0,3,30,0,1,0.49156338,,8,0,0.0,0,0,5,4,1,0,0,,26,68.42105263,0,0,0,39,8,3,0,6,678,1,0,0,0,0,0.0,0,0,0,0,49,0,0,6.916666667,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,23,15,65.2173913,3,1,0,37,55.2238806,16,169,275,444,0,0,546,3,2
Jurriën Timber,Arsenal,D,6,13.04347826,344,20,38.46153846,573,352,925,85.25345622,40,66.66666667,20,30,5,97,4,7,3,11,53,25,9,110,0,1,1.60875528,4.7029,38,0,12.0,3,8,20,14,6,3,0,,107,54.31472081,2,0,0,160,24,27,0,28,2457,0,0,0,0,0,0.0,0,0,0,1,302,7,0,6.913333333,0,1,0,0,0,0,0,819.0,0.0,0,24,1,15,7,13,39.39393939,66,37,56.06060606,27,33,46,147,57.19844358,52,695,390,1085,25,1,1656,29,5
Ben White,Arsenal,D,2,15.38461538,75,6,35.29411765,109,61,170,82.92682927,9,42.85714286,12,7,1,18,2,0,0,2,17,1,5,24,0,0,0.48011543,0.436,5,0,0.0,0,1,4,3,1,0,0,,19,61.29032258,0,0,0,35,3,6,0,5,420,2,0,0,0,0,0.0,0,0,0,0,59,2,0,6.857142857,0,0,0,0,0,0,0,0.0,0.0,0,3,1,3,1,2,66.66666667,13,7,53.84615385,6,3,13,28,53.84615385,17,140,65,205,4,0,326,4,0
Riccardo Calafiori,Arsenal,D,3,14.28571429,161,18,50.0,292,265,557,85.42944785,40,58.82352941,28,22,2,64,0,1,9,3,48,7,8,72,0,1,0.48692635,2.8955,25,0,3.571428571,1,3,8,6,2,1,0,,52,54.16666667,1,0,1,95,14,5,0,18,1455,2,0,0,0,0,0.0,0,0,0,0,175,4,0,6.852380952,0,0,0,0,0,0,0,1455.0,0.0,0,19,9,13,6,13,72.22222222,31,18,58.06451613,5,18,21,92,56.09756098,36,347,305,652,28,1,1010,9,5
Myles Lewis-Skelly,Arsenal,D,0,0.0,32,4,50.0,63,85,148,88.62275449,1,12.5,7,14,0,14,0,0,0,0,8,4,2,20,0,1,0.06480379,0.0516,6,0,0.0,0,0,5,5,0,0,0,,15,53.57142857,0,0,0,19,2,3,0,1,336,0,0,0,0,0,0.0,0,0,0,0,33,0,0,6.55,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,5,83.33333333,4,3,75.0,3,6,0,16,44.44444444,8,75,92,167,1,0,233,6,3
Marc Guéhi,Manchester City,D,3,23.07692308,245,63,39.87341772,658,863,1521,88.32752613,82,68.90756303,37,28,2,118,5,6,7,10,137,13,10,81,1,0,2.03411124,3.5818,18,0,7.407407407,2,4,30,23,7,2,0,,67,60.36036036,1,0,2,201,39,14,0,28,2520,0,0,0,0,0,0.0,0,0,0,1,247,4,0,7.275,0,1,0,0,0,0,0,1260.0,0.0,0,26,1,13,7,5,55.55555556,37,24,64.86486486,14,9,13,149,64.7826087,158,799,923,1722,27,4,2116,25,5
Rúben Dias,Manchester City,D,3,33.33333333,229,47,50.0,722,848,1570,93.00947867,58,65.16853933,31,25,0,70,0,1,3,11,115,3,2,53,0,2,0.62277125,0.5644,14,0,20.0,2,2,20,14,6,1,1,,24,52.17391304,0,0,0,118,22,6,0,23,2059,0,0,0,0,0,0.0,0,0,0,0,134,2,0,7.2,0,2,0,0,0,0,0,1029.5,0.0,0,6,4,3,4,3,50.0,13,6,46.15384615,6,6,9,82,60.74074074,94,797,891,1688,10,3,1945,9,3
