player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Bukayo Saka,Arsenal,F,36,32.43243243,300,14,36.84210526,419,105,524,76.72035139,22,44.89795918,27,27,3,105,9,8,22,7,10,29,15,140,0,1,5.76195133,6.9941,28,0,9.523809524,6,9,16,11,5,6,0,,136,54.6184739,1,0,1,159,14,54,3,22,2001,14,0,2,1,0,100.0,0,1,0,0,362,25,0,7.214814815,0,2,0,0,0,0,0,333.5,0.0,2,47,16,15,26,49,53.26086957,36,17,47.22222222,52,92,111,158,53.02013423,38,557,126,683,63,4,1236,51,1
Eberechi Eze,Arsenal,F,2,18.18181818,184,13,39.39393939,303,134,437,84.20038536,8,26.66666667,22,26,2,61,4,1,19,2,10,16,4,73,0,0,2.23044189,3.7507,16,0,12.24489796,6,8,10,7,3,6,0,,69,57.5,0,0,0,82,8,13,1,17,1504,1,0,0,0,0,0.0,0,0,0,0,149,15,0,6.992307692,0,5,0,0,0,0,0,250.6666667,0.0,0,29,20,14,16,23,57.5,16,12,75.0,13,40,11,77,51.33333333,33,372,147,519,49,2,760,30,1
Leandro Trossard,Arsenal,F,12,22.64150943,244,29,44.61538462,375,110,485,76.01880878,6,40.0,9,26,5,68,4,6,18,2,12,35,16,100,0,1,2.67849508,4.8222,13,0,11.36363636,5,10,14,11,3,3,2,,72,44.17177914,0,0,2,153,8,30,1,18,1685,4,0,0,0,0,0.0,0,0,0,0,302,8,0,6.873076923,0,4,0,0,0,0,0,337.0,0.0,0,33,11,15,11,17,37.77777778,25,16,64.0,30,45,53,78,43.82022472,65,505,133,638,44,1,1006,31,1
Kai Havertz,Arsenal,F,0,0.0,25,0,0.0,35,7,42,63.63636364,9,40.90909091,13,6,1,6,0,0,1,0,4,4,3,23,0,0,0.09787258,0.3077,1,0,0.0,0,1,0,0,0,0,0,,13,56.52173913,0,0,0,24,0,4,0,3,264,0,0,0,0,0,0.0,0,0,0,0,44,2,0,6.65,0,0,0,0,0,0,0,0.0,0.0,0,2,3,3,1,3,60.0,3,2,66.66666667,4,5,1,22,48.88888889,2,55,11,66,5,0,117,7,0
Gabriel Martinelli,Arsenal,F,7,23.33333333,61,1,9.090909091,104,35,139,68.81188119,8,33.33333333,16,25,3,42,3,6,6,0,10,23,5,65,0,1,0.99101979,3.3793,7,0,4.0,1,4,5,4,1,1,0,,40,44.94382022,0,0,0,63,0,9,0,9,852,5,0,0,0,0,0.0,0,0,0,0,162,13,0,6.616,0,1,0,0,0,0,0,852.0,0.0,0,22,3,9,10,18,54.54545455,10,7,70.0,9,33,30,48,42.47787611,11,156,46,202,25,0,418,13,2
Viktor Gyökeres,Arsenal,F,2,28.57142857,96,1,33.33333333,133,27,160,59.70149254,25,31.64556962,54,29,0,47,3,8,11,3,17,21,7,133,0,1,1.76750513,9.3498,28,0,25.58139535,11,11,11,8,3,10,1,,34,30.08849558,1,0,1,108,1,16,1,23,1907,2,0,0,2,0,100.0,0,2,0,0,234,17,0,6.572413793,0,9,0,0,0,0,0,173.3636364,0.0,0,39,4,15,17,6,18.75,6,5,83.33333333,16,32,7,59,30.72916667,3,225,43,268,43,3,540,23,4
Gabriel Jesus,Arsenal,F,0,0.0,28,0,0.0,48,14,62,74.69879518,6,28.57142857,15,11,0,18,0,3,3,0,3,8,1,37,0,0,0.203329,1.7605,6,0,14.28571429,2,2,6,4,2,1,1,,11,33.33333333,0,0,0,21,2,1,0,2,306,5,0,0,0,0,0.0,0,0,0,0,55,3,0,6.527272727,0,2,0,0,0,0,0,153.0,0.0,0,12,2,2,9,6,46.15384615,4,0,0.0,1,13,0,17,31.48148148,1,63,20,83,14,0,169,1,2
Erling Haaland,Manchester City,F,1,33.33333333,87,4,40.0,130,71,201,65.90163934,64,62.74509804,38,29,7,31,8,24,18,6,36,18,4,92,0,0,2.08367601,21.0095,19,0,21.56862745,22,29,27,20,7,21,1,,49,47.57281553,3,0,4,104,4,21,17,28,2418,3,0,0,4,0,75.0,0,3,0,0,182,12,0,7.351724138,0,2,0,0,0,0,0,109.9090909,0.0,0,91,11,35,49,13,50.0,13,8,61.53846154,21,26,3,113,55.12195122,10,215,90,305,102,6,630,23,1
Omar Marmoush,Manchester City,F,0,0.0,58,1,100.0,94,32,126,86.89655172,2,28.57142857,5,17,3,14,2,2,6,0,2,12,3,38,0,0,0.70657912,2.1852,10,0,4.166666667,1,4,5,4,1,1,0,,36,52.17391304,0,0,1,19,2,11,0,7,600,6,0,0,0,0,0.0,0,0,0,0,67,3,0,6.66,0,1,0,0,0,0,0,600.0,0.0,2,17,7,11,7,7,43.75,12,6,50.0,11,16,11,38,50.0,1,111,34,145,24,1,279,18,2
Matheus Cunha,Manchester United,F,8,18.18181818,239,19,52.77777778,393,199,592,80.1082544,27,40.90909091,39,28,2,106,3,4,22,2,17,47,16,164,0,0,2.58521899,5.9278,17,0,9.722222222,7,9,29,26,3,5,2,,118,48.55967078,0,0,3,147,16,27,0,24,2075,2,0,1,0,0,0.0,0,0,0,2,356,17,0,7.060714286,0,7,0,0,0,0,0,296.4285714,0.0,0,39,33,21,29,38,45.78313253,33,19,57.57575758,26,83,44,145,46.92556634,36,506,233,739,72,2,1281,48,1
