player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
David Raya,Arsenal,G,0,0.0,72,163,35.28138528,133,471,604,66.51982379,7,87.5,1,31,0,258,0,0,0,15,30,0,0,1,1,3,0.10104617,,0,0,0.0,0,0,22,16,6,0,0,-0.8838,11,100.0,0,29,0,304,1,3,0,31,2790,0,0,0,0,0,0.0,0,0,0,0,312,0,8,6.929032258,0,0,36,13,50,0,10,0.0,0.0,0,0,0,0,0,1,100.0,1,1,100.0,3,1,0,18,94.73684211,462,403,505,908,0,2,1197,9,1
James Trafford,Manchester City,G,0,0.0,1,13,32.5,3,74,77,71.96261682,1,100.0,0,3,0,33,0,0,0,1,6,0,0,0,1,0,0.00099632,,0,0,0.0,0,0,4,4,0,0,0,1.8896,4,100.0,0,2,0,30,0,0,0,3,270,0,0,0,0,0,0.0,1,0,0,0,30,0,1,7.4,0,0,9,2,11,0,4,0.0,0.0,0,0,0,0,0,1,100.0,2,1,50.0,0,1,0,5,100.0,40,26,81,107,0,0,142,1,0
Gianluigi Donnarumma,Manchester City,G,0,0.0,12,108,42.85714286,45,521,566,79.27170868,14,93.33333333,1,27,0,183,0,0,0,11,35,0,1,2,1,3,0.01712201,,0,0,0.0,0,0,24,17,7,0,0,2.2868,5,83.33333333,0,10,0,148,1,0,0,27,2430,0,0,0,0,0,0.0,1,0,1,0,153,0,24,7.014814815,0,0,45,17,64,1,16,0.0,0.0,0,0,0,0,0,2,100.0,0,0,0.0,0,2,0,19,90.47619048,252,145,569,714,0,0,937,3,6
Senne Lammens,Manchester United,G,0,0.0,34,147,32.23684211,124,300,424,57.60869565,6,100.0,0,25,0,176,0,0,0,5,22,0,0,0,0,0,0.03511233,,0,0,0.0,0,0,32,29,3,0,0,3.115,3,100.0,0,24,0,312,0,0,0,25,2250,0,0,0,0,0,0.0,4,0,0,0,320,0,13,6.932,0,0,36,21,57,1,9,0.0,0.0,0,0,0,0,0,0,0.0,1,1,100.0,0,0,0,9,100.0,456,388,348,736,0,0,916,3,0
Altay Bay?nd?r,Manchester United,G,0,0.0,13,31,31.0,25,82,107,60.4519774,1,100.0,0,6,0,39,1,0,0,0,7,0,1,1,1,0,0.04160964,,0,0,0.0,0,0,11,10,1,0,0,-0.8378,4,80.0,0,4,0,70,0,1,0,6,540,0,0,0,0,0,0.0,0,0,0,0,72,0,1,6.6,0,0,11,2,13,0,2,0.0,0.0,0,0,0,0,0,1,100.0,0,0,0.0,1,1,0,5,83.33333333,100,86,91,177,0,0,225,3,0
Emiliano Martínez,Aston Villa,G,0,0.0,37,141,35.33834586,108,624,732,73.4939759,14,93.33333333,1,27,0,224,1,0,0,7,25,0,0,1,3,2,0.08369305,,0,0,0.0,0,0,29,25,4,0,0,3.2959,11,100.0,0,40,0,264,0,1,0,27,2385,0,0,0,0,0,0.0,1,0,1,0,271,0,9,6.937037037,0,0,44,31,76,1,19,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,1,0,0,25,96.15384615,399,316,680,996,0,3,1276,16,2
Marco Bizot,Aston Villa,G,0,0.0,2,23,38.98305085,13,113,126,77.77777778,1,100.0,0,5,0,41,0,0,0,1,6,0,0,1,1,0,0.00266433,,1,0,0.0,0,0,8,8,0,0,0,-0.4584,1,50.0,0,6,0,36,0,0,0,4,405,0,0,0,0,1,0.0,1,0,0,0,37,0,3,6.54,0,0,8,5,13,0,4,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,2,66.66666667,59,41,121,162,0,1,212,1,2
Alisson,Liverpool,G,0,0.0,20,103,39.92248062,56,569,625,79.61783439,6,85.71428571,1,25,0,221,0,0,0,8,37,0,1,3,0,3,0.03653137,,1,0,0.0,0,0,30,26,4,0,0,-2.552,5,71.42857143,0,16,0,160,0,0,0,25,2250,0,0,0,0,1,0.0,2,0,0,0,167,0,21,6.808,0,0,33,20,56,0,9,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,11,78.57142857,258,172,613,785,0,0,1029,7,1
Giorgi Mamardashvili,Liverpool,G,0,0.0,7,27,32.92682927,13,125,138,70.76923077,2,66.66666667,1,6,0,46,0,0,0,1,8,0,0,2,0,1,0.00964189,,1,0,0.0,0,0,12,9,3,0,0,-1.9012,1,50.0,0,2,0,57,0,0,0,6,540,0,0,0,0,1,0.0,2,0,1,0,60,0,2,6.466666667,0,0,11,10,21,1,9,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,3,60.0,82,56,139,195,0,0,263,1,0
Robert Sánchez,Chelsea,G,0,0.0,49,175,33.84912959,115,633,748,67.93823797,11,91.66666667,1,29,1,251,2,0,0,9,23,1,0,3,1,2,0.06359803,,2,0,0.0,0,1,34,31,3,0,0,2.1411,10,83.33333333,0,34,0,353,1,5,0,29,2525,0,0,0,0,0,0.0,1,0,0,0,363,0,6,6.934482759,1,0,57,21,80,0,14,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0.0,5,0,0,21,87.5,517,394,707,1101,0,0,1407,11,3
Filip Jørgensen,Chelsea,G,0,0.0,4,15,40.54054054,6,103,109,81.95488722,1,100.0,0,3,0,23,0,0,0,0,2,1,0,1,0,0,0.00168234,,0,0,0.0,0,0,4,4,0,0,0,-0.4458,0,0.0,0,3,0,24,1,0,0,2,264,0,0,0,0,0,0.0,0,0,0,0,25,0,1,6.933333333,0,0,4,2,6,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,1,50.0,37,25,108,133,0,0,160,0,0
Caoimhin Kelleher,Brentford,G,0,0.0,44,213,36.41025641,150,525,675,64.34699714,4,66.66666667,2,30,0,229,0,0,0,8,36,0,1,5,1,1,0.24497656,,2,0,0.0,0,0,39,36,3,0,0,-2.7681,8,72.72727273,0,17,0,374,1,3,0,30,2700,0,0,1,0,2,0.0,7,0,3,0,383,0,24,6.993333333,0,0,46,33,82,1,14,0.0,0.0,0,0,0,0,0,2,100.0,1,0,0.0,2,2,0,12,70.58823529,585,475,574,1049,0,1,1339,6,1
Hákon Rafn Valdimarsson,Brentford,G,0,0.0,0,12,52.17391304,7,23,30,73.17073171,0,0.0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0.00111148,,0,0,0.0,0,0,3,3,0,0,0,-1.7175,0,0.0,0,0,0,11,0,0,0,1,90,0,0,0,0,0,0.0,0,0,0,0,11,0,0,6.2,0,0,1,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,23,15,26,41,0,0,48,0,0
Jordan Pickford,Everton,G,0,0.0,125,301,40.67567568,224,501,725,62.07191781,4,66.66666667,2,31,0,253,0,0,0,11,40,0,1,3,3,0,0.17797788,,0,0,0.0,0,0,35,32,3,0,0,5.1314,8,88.88888889,0,10,0,443,0,0,0,31,2790,0,0,0,0,0,0.0,3,0,1,0,450,0,14,7.093548387,0,0,58,28,86,0,18,0.0,0.0,0,0,0,0,0,0,0.0,2,1,50.0,0,0,0,12,80.0,740,622,546,1168,0,4,1432,6,2
Bernd Leno,Fulham,G,0,0.0,18,129,32.4120603,71,813,884,76.47058824,16,94.11764706,1,31,0,260,0,0,0,6,35,0,0,1,1,3,0.02208478,,0,0,0.0,0,0,44,40,4,0,0,-5.7629,7,100.0,0,21,0,272,1,0,0,31,2790,0,1,0,0,0,0.0,4,0,0,0,284,0,25,6.883870968,0,0,49,27,77,0,14,0.0,0.0,0,0,0,0,0,0,0.0,4,1,25.0,0,0,0,23,95.83333333,398,297,859,1156,0,1,1460,5,3
Bart Verbruggen,Brighton &amp; Hove Albion,G,0,0.0,39,159,35.33333333,78,879,957,76.37669593,9,90.0,1,31,0,275,0,0,0,7,26,0,0,3,2,2,0.10016064,,2,0,0.0,0,0,37,30,7,0,0,1.0935,5,71.42857143,0,16,0,296,0,1,0,31,2790,0,1,0,0,1,0.0,6,0,1,0,301,0,12,7.077419355,0,0,61,23,87,0,15,0.0,0.0,0,0,0,0,0,1,100.0,1,1,100.0,1,1,0,14,82.35294118,450,328,925,1253,0,2,1512,3,3
Robin Roefs,Sunderland,G,0,0.0,69,160,28.88086643,127,576,703,63.96724295,21,100.0,0,28,0,278,1,0,0,8,33,0,2,2,2,2,0.13439179,,0,0,0.0,0,0,34,28,6,0,0,0.2134,8,80.0,0,42,0,396,0,4,0,28,2520,0,0,0,0,0,0.0,3,0,1,0,406,0,21,7.032142857,0,0,55,29,85,0,16,0.0,0.0,0,0,0,0,0,1,100.0,0,0,0.0,4,1,0,29,93.5483871,554,477,622,1099,0,3,1407,11,3
